EICno,mzmed,rtmed,ACN_80_A1,ACN_80_A2,ACN_80_B1,ACN_80_B2,ACN_80_C1,ACN_80_C2,MeOH_80_A1,MeOH_80_A2,MeOH_80_B1,MeOH_80_B2,MeOH_80_C1,MeOH_80_C2
20325,757.1199612,852.743,9041.022461,5127.974121,3565.614746,4494.66748,4258.44873,3439.323486,3671.880127,3688.720947,2932.165771,2450.049316,2923.931641,2595.453857
7687,387.2402702,852.756,973.3290405,1419.795654,1217.254517,1852.511108,1235.286011,1239.456543,1208.839966,1627.266479,1157.918335,1191.476563,1427.934448,1252.299561
9300,430.0892233,852.762,22950.3457,12557.47852,12527.38379,13011.79492,10807.79102,19642.13672,8518.735352,9906.229492,7238.233887,6023.033691,8850.144531,5907.610352
20284,755.1213471,852.769,26120.71484,11790.44922,9234.714844,11114.25,10366.18457,9108.708984,9458.180664,7194.47998,6563.291992,5453.86084,6391.336914,5377.691895
20251,753.1222793,852.771,33247.70313,15308.1416,14694.25781,16726.61133,15806.55176,12277.77637,11795.03223,9969.124023,8620.416016,7711.020508,8522.357422,6813.592285
20304,756.1214974,852.771,13268.32227,6412.421387,5566.162598,6016.191895,6535.178711,4702.003418,5320.041504,3737.77124,3095.087891,3360.145752,3697.113525,2877.111328
21495,804.1285252,852.78,13623.70703,5870.684082,5391.470215,5143.808594,5234.733887,4041.134033,5088.648926,4124.166016,3995.423584,3017.267822,4117.120605,3117.682129
20378,759.1178242,852.7935,2730.865234,1312.640381,1240.165894,1569.804077,1377.299438,1379.528442,1316.577148,1242.452271,1075.049683,883.3546753,1530.018555,691.8122559
20265,754.1228182,852.7945,21544.39258,12444.94531,10380.4502,11306.98438,10745.15723,8440.709961,8114.518066,6447.457031,6071.646973,5736.826172,6182.435547,5152.299805
21818,815.5626779,852.795,8045.709473,11137.00195,25777.64258,16616.07617,18613.05664,26498.63672,5152.461426,7592.067383,4856.046387,5191.208496,18432.98633,5558.049805
15910,608.9457901,852.799,354.8890381,329.7426453,414.9621277,406.078064,429.0141602,504.5942993,316.8971252,301.5986938,351.903595,354.8959045,453.7604065,272.668396
21418,801.1303971,852.799,21385.06055,11396.20605,8283.688477,10345.27051,11059.70996,8840.193359,3811.891846,8866.035156,6508.440918,4901.470703,7935.537598,5517.805176
6159,341.0178024,852.8,11281.64551,7799.48877,6976.993652,7162.614258,5276.883789,11030.13086,4438.544922,4471.786133,3921.502686,3092.127197,4977.074707,3466.558594
7436,380.5620902,852.8015,1183.658447,582.7556152,696.4776611,905.8122559,774.7232056,1058.002563,988.0197754,1366.680664,605.5776367,411.5558167,1157.361328,440.5318909
21442,802.1319417,852.803,16726.46484,7521.23877,6057.921387,6397.578613,7259.95166,5151.186523,6219.680664,6364.124512,4463.749512,4708.27002,5064.370605,3694.909424
15331,589.94462,852.8035,330.1512756,339.4650574,415.7813721,275.4545593,180.625,585.2575073,299.0416565,215.5193787,376.0262756,217.792923,512.6982422,474.1264954
21279,795.1251143,852.8035,1878.337891,1071.314331,697.3629761,904.451355,949.5088501,792.3886108,728.2426758,926.8473511,836.2438965,594.9298096,761.1418457,566.2947998
19417,724.1833916,852.8045,3717.135498,2368.880615,1980.136108,2227.110596,2442.449951,2665.582275,1591.011108,1634.631714,1608.620483,871.8395996,1949.492554,1098.50708
7409,379.5638015,852.806,2726.354004,2395.633301,1980.733276,1693.976807,2017.605591,2503.129883,3164.570068,3735.185547,2225.140381,1440.160889,2588.8479,1252.691895
6529,353.2133521,852.8075,2018.011353,1516.318726,2310.118164,2538.778564,2422.596924,1978.199951,2131.27832,1733.370972,1540.306519,1583.478882,1942.775879,1546.813232
20404,760.2747138,852.8075,2911.473877,1781.221802,1380.518677,2232.532715,1525.407837,816.7984619,855.8318481,1053.619995,1184.703247,1437.149902,1101.574341,1016.078186
21553,806.1241108,852.8075,4678.149414,2371.566406,1858.938599,2362.222656,2090.439941,1705.94458,1877.68689,1864.665527,1352.057007,1121.877563,1454.532104,1405.059448
19323,721.1850233,852.808,17666.15039,8144.283203,8254.580078,7750.291504,8464.09082,10553.0459,6924.588867,5111.844238,4124.928711,3806.67627,10396.50488,4016.333496
19347,722.1856271,852.808,9713.480469,5611.803711,4975.197266,6241.729492,5129.724121,6464.753418,4547.810059,4647.530273,2926.188477,2709.167236,5884.465332,2431.032227
